iter	Passed	Remaining
156	1102	9431
157	1106	9401
158	1111	9374
159	1116	9352
160	1121	9324
161	1127	9308
162	1132	9292
163	1137	9270
164	1142	9242
165	1147	9218
166	1152	9196
167	1156	9168
168	1160	9140
169	1165	9117
170	1169	9090
171	1173	9061
172	1178	9039
173	1182	9013
174	1187	8988
175	1191	8964
176	1195	8936
177	1200	8913
178	1204	8886
179	1208	8861
180	1213	8840
181	1217	8817
182	1222	8796
183	1227	8777
184	1231	8754
185	1235	8730
186	1240	8709
187	1244	8685
188	1248	8661
189	1253	8640
190	1257	8616
191	1261	8594
192	1266	8577
193	1270	8555
194	1274	8532
195	1279	8513
196	1284	8492
197	1288	8471
198	1292	8449
199	1296	8426
200	1302	8417
201	1307	8402
202	1312	8383
203	1316	8366
204	1322	8354
205	1327	8337
206	1331	8318
207	1335	8297
208	1340	8277
209	1344	8257
210	1348	8239
211	1352	8219
212	1356	8198
213	1361	8183
214	1366	8165
215	1370	8147
216	1375	8132
217	1379	8114
218	1383	8095
219	1388	8080
220	1392	8061
221	1397	8042
222	1401	8027
223	1406	8011
224	1410	7995
225	1415	7980
226	1420	7963
227	1424	7949
228	1429	7934
229	1433	7918
230	1438	7901
231	1442	7885
232	1446	7866
233	1450	7850
234	1455	7833
235	1459	7815
236	1463	7799
237	1467	7782
238	1472	7766
239	1476	7753
240	1481	7738
241	1485	7722
242	1490	7709
243	1494	7692
244	1498	7678
245	1503	7665
246	1508	7650
247	1512	7636
248	1517	7625
249	1522	7611
250	1526	7596
251	1531	7583
252	1535	7568
253	1539	7553
254	1545	7543
255	1549	7527
256	1553	7513
257	1557	7499
258	1562	7485
259	1566	7470
260	1570	7455
261	1574	7441
262	1579	7427
263	1583	7412
264	1587	7398
265	1592	7387
266	1596	7372
267	1600	7357
268	1605	7345
269	1610	7336
270	1613	7317
271	1619	7311
272	1624	7303
273	1629	7290
274	1634	7280
275	1639	7269
276	1643	7256
277	1647	7242
278	1652	7230
279	1656	7217
280	1660	7204
281	1665	7192
282	1669	7179
283	1674	7169
284	1679	7161
285	1684	7149
286	1688	7137
287	1693	7127
288	1697	7114
289	1701	7100
290	1706	7090
291	1711	7078
292	1715	7066
293	1720	7058
294	1723	7040
295	1729	7033
296	1734	7025
297	1739	7017
298	1744	7005
299	1748	6994
300	1754	6987
301	1759	6980
302	1764	6971
303	1769	6961
304	1774	6954
305	1780	6946
306	1785	6937
307	1789	6927
308	1795	6918
309	1799	6906
310	1803	6896
311	1808	6886
312	1814	6882
313	1820	6875
314	1827	6874
315	1832	6867
316	1837	6858
317	1843	6853
318	1849	6846
319	1854	6839
320	1860	6833
321	1866	6827
322	1871	6818
323	1878	6818
324	1883	6810
325	1890	6807
326	1896	6804
327	1902	6797
328	1907	6790
329	1914	6786
330	1920	6782
331	1929	6789
332	1939	6795
333	1947	6798
334	1956	6802
335	1964	6806
336	1974	6813
337	1981	6811
338	1988	6808
339	1998	6818
340	2021	6872
341	2032	6881
342	2042	6890
343	2051	6895
344	2062	6905
345	2071	6908
346	2081	6916
347	2091	6921
348	2100	6926
349	2108	6928
350	2115	6926
351	2123	6926
352	2131	6926
353	2139	6927
354	2145	6920
355	2151	6914
356	2157	6908
357	2163	6900
358	2168	6891
359	2173	6881
360	2178	6873
361	2183	6864
362	2188	6854
363	2193	6844
364	2198	6836
365	2203	6826
366	2208	6816
367	2213	6808
368	2219	6801
369	2224	6794
370	2229	6784
371	2234	6776
372	2239	6766
373	2244	6758
374	2249	6749
375	2254	6739
376	2260	6732
377	2266	6728
378	2273	6723
379	2279	6717
380	2284	6710
381	2290	6702
382	2295	6695
383	2302	6690
384	2309	6687
385	2315	6683
386	2322	6680
387	2330	6679
388	2336	6673
389	2345	6675
390	2352	6673
391	2360	6671
392	2366	6667
393	2372	6661
394	2378	6653
395	2383	6643
396	2388	6635
397	2393	6628
398	2399	6620
399	2404	6612
400	2409	6602
401	2414	6595
402	2419	6586
403	2424	6576
404	2428	6566
405	2433	6558
406	2438	6548
407	2441	6533
408	2445	6523
409	2450	6513
410	2455	6505
411	2459	6496
412	2464	6486
413	2469	6477
414	2474	6468
